ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
1350681,Male,No,20,No,Marketing,0,Low,2,Cat_6,D
1350192,Male,No,19,No,Marketing,2,Low,4,Cat_6,C
1355498,Male,No,19,No,Marketing,0,Low,5,Cat_6,A
1348252,Female,Yes,76,Yes,Marketing,0,Low,2,Cat_6,B
1353004,Female,Yes,69,Yes,Marketing,1,Low,2,Cat_6,C
1355158,Female,Yes,68,No,Marketing,0,Low,2,Cat_6,D
1355861,Female,Yes,63,Yes,Marketing,2,Low,1,Cat_6,D
1353470,Female,Yes,63,Yes,Marketing,0,Low,2,Cat_6,D
1353100,Female,Yes,56,Yes,Marketing,0,Average,2,Cat_6,C
1348121,Female,Yes,53,Yes,Marketing,6,Low,1,Cat_6,D
1349305,Female,Yes,51,Yes,Marketing,9,Low,1,Cat_6,A
1354606,Female,Yes,49,Yes,Marketing,9,Low,2,Cat_6,C
1349005,Female,Yes,48,Yes,Marketing,9,Low,1,Cat_6,D
1353958,Female,Yes,48,Yes,Marketing,6,Low,1,Cat_6,C
1353460,Female,Yes,47,Yes,Marketing,1,Low,1,Cat_6,D
1354852,Female,Yes,47,No,Marketing,2,Low,1,Cat_6,D
1350079,Female,Yes,45,Yes,Marketing,8,Low,4,Cat_6,D
1354537,Female,Yes,43,Yes,Marketing,6,Low,1,Cat_6,A
1352627,Female,Yes,42,No,Marketing,0,Low,3,Cat_6,B
1349869,Female,Yes,42,No,Marketing,0,Average,2,Cat_6,A
1352587,Female,Yes,41,Yes,Marketing,9,Low,3,Cat_6,B
1350617,Female,Yes,41,Yes,Marketing,0,Low,3,Cat_6,D
1354853,Female,Yes,41,No,Marketing,8,Low,2,Cat_6,A
1354222,Female,Yes,41,No,Marketing,5,Average,3,Cat_6,A
1349069,Female,Yes,37,Yes,Marketing,9,Low,1,Cat_6,A
1355008,Female,Yes,37,No,Marketing,0,Low,4,Cat_6,D
1354830,Female,Yes,33,Yes,Marketing,8,High,2,Cat_6,D
1349272,Female,Yes,32,Yes,Marketing,8,Low,2,Cat_6,D
1349068,Female,Yes,27,Yes,Marketing,11,Average,2,Cat_6,A
1353412,Female,Yes,27,No,Marketing,1,Low,2,Cat_6,A
1349729,Female,No,61,Yes,Marketing,1,Low,1,Cat_6,D
1353014,Female,No,55,Yes,Marketing,3,Low,1,Cat_6,B
1350704,Female,No,49,Yes,Marketing,0,Low,5,Cat_6,A
1354860,Female,No,47,Yes,Marketing,9,Low,1,Cat_6,D
1354845,Female,No,46,Yes,Marketing,1,Low,1,Cat_6,D
1350128,Female,No,45,No,Marketing,1,Low,1,Cat_6,D
1348954,Female,No,45,No,Marketing,0,Low,1,Cat_6,D
1356137,Female,No,43,Yes,Marketing,1,Low,1,Cat_6,D
1349225,Female,No,42,Yes,Marketing,10,Low,3,Cat_6,D
1355555,Female,No,42,No,Marketing,5,Low,2,Cat_6,D
1354773,Female,No,41,Yes,Marketing,1,Low,2,Cat_6,A
1350081,Female,No,41,Yes,Marketing,1,Low,1,Cat_6,D
1350132,Female,No,41,No,Marketing,1,Low,1,Cat_6,D
1348867,Female,No,41,No,Marketing,0,Low,2,Cat_6,B
1355774,Female,No,40,No,Marketing,1,Low,1,Cat_6,D
1350344,Female,No,40,No,Marketing,0,Low,1,Cat_6,A
1354234,Female,No,37,Yes,Marketing,1,Low,3,Cat_6,D
1353383,Female,No,33,No,Marketing,1,Low,9,Cat_6,C
1354848,Female,No,32,Yes,Marketing,8,Low,1,Cat_6,D
1356345,Female,No,32,Yes,Marketing,1,Low,6,Cat_6,B
1350113,Female,No,32,No,Marketing,11,Low,6,Cat_6,D
1354538,Female,No,32,No,Marketing,0,Low,4,Cat_6,A
1349883,Female,No,31,Yes,Marketing,0,Low,1,Cat_6,D
1354276,Female,No,31,Yes,Marketing,0,Low,1,Cat_6,D
1354172,Female,No,31,No,Marketing,8,Low,4,Cat_6,D
1355585,Female,No,31,No,Marketing,0,Low,3,Cat_6,D
1350109,Female,No,30,No,Marketing,1,Low,4,Cat_6,B
1350797,Female,No,30,No,Marketing,0,Low,4,Cat_6,D
1352711,Female,No,29,No,Marketing,8,Low,4,Cat_6,D
1356759,Female,No,29,No,Marketing,4,Low,3,Cat_6,B
1347876,Female,No,29,No,Marketing,2,Low,3,Cat_6,D
1351598,Female,No,28,Yes,Marketing,2,Low,3,Cat_6,D
1354812,Female,No,28,Yes,Marketing,0,Low,2,Cat_6,D
1349180,Female,No,27,Yes,Marketing,12,Low,3,Cat_6,A
1354278,Female,No,27,Yes,Marketing,3,Low,3,Cat_6,D
1347880,Female,No,27,Yes,Marketing,0,Low,1,Cat_6,D
1351778,Female,No,25,Yes,Marketing,12,Low,1,Cat_6,D
1351606,Female,No,25,No,Marketing,8,Low,5,Cat_6,D
1356660,Female,No,25,No,Marketing,1,Low,2,Cat_6,D
1354269,Female,No,25,No,Marketing,0,Low,4,Cat_6,C
1356655,Female,No,23,No,Marketing,4,Low,4,Cat_6,D
1355740,Female,No,23,No,Marketing,4,Low,4,Cat_6,C
1355524,Female,No,23,No,Marketing,3,Low,3,Cat_6,C
1355452,Female,No,23,No,Marketing,0,Low,4,Cat_6,D
1356713,Female,No,21,No,Marketing,1,Low,8,Cat_6,C
1351734,Female,No,20,No,Marketing,7,Low,2,Cat_6,D
1349734,Female,No,19,No,Marketing,1,Low,4,Cat_6,D
1355528,Female,No,19,No,Marketing,1,Low,4,Cat_6,D
1351716,Male,No,25,No,Marketing,3,Low,3,Cat_5,D
1355725,Female,No,38,Yes,Marketing,9,Low,4,Cat_5,D
1352529,Female,No,33,Yes,Marketing,1,Low,3,Cat_5,B
1354434,Female,No,25,No,Marketing,1,Low,9,Cat_5,D
1352117,Female,No,22,No,Marketing,0,Low,1,Cat_5,B
1353849,Male,Yes,76,No,Marketing,1,Low,1,Cat_4,A
1353603,Male,Yes,61,No,Marketing,1,Average,4,Cat_4,D
1351084,Male,Yes,56,No,Marketing,1,Average,3,Cat_4,B
1356573,Male,Yes,50,No,Marketing,1,High,6,Cat_4,A
1354620,Male,Yes,47,Yes,Marketing,0,Low,2,Cat_4,D
1353604,Male,Yes,43,Yes,Marketing,0,High,6,Cat_4,D
1353684,Male,Yes,43,No,Marketing,3,High,4,Cat_4,A
1353679,Male,Yes,42,No,Marketing,0,High,6,Cat_4,A
1353670,Male,Yes,35,No,Marketing,0,Low,3,Cat_4,D
1353443,Male,Yes,31,Yes,Marketing,13,High,4,Cat_4,D
1350899,Male,Yes,29,No,Marketing,1,Low,4,Cat_4,D
1354615,Male,No,42,No,Marketing,1,Low,5,Cat_4,D
1353689,Male,No,40,No,Marketing,1,Low,1,Cat_4,D
1353687,Male,No,35,No,Marketing,0,Low,4,Cat_4,D
1350153,Male,No,33,No,Marketing,1,Low,6,Cat_4,D
1353674,Male,No,33,No,Marketing,1,Low,3,Cat_4,D
1353669,Male,No,32,No,Marketing,0,Low,3,Cat_4,D
1354362,Male,No,27,No,Marketing,8,Low,4,Cat_4,D
1353818,Male,No,25,No,Marketing,0,Low,2,Cat_4,A
1350969,Male,No,22,No,Marketing,0,Low,3,Cat_4,D
1350148,Male,No,20,No,Marketing,1,Low,3,Cat_4,D
1351465,Female,Yes,70,No,Marketing,0,High,2,Cat_4,D
1348520,Female,Yes,52,No,Marketing,1,High,3,Cat_4,D
1349542,Female,Yes,48,No,Marketing,0,Average,2,Cat_4,D
1353681,Female,Yes,26,No,Marketing,7,High,3,Cat_4,A
1352892,Female,Yes,26,No,Marketing,0,Low,5,Cat_4,D
1349707,Female,Yes,25,No,Marketing,0,High,5,Cat_4,D
1348316,Female,No,43,No,Marketing,0,Low,2,Cat_4,D
1353623,Female,No,38,Yes,Marketing,8,Low,3,Cat_4,D
1348973,Female,No,37,Yes,Marketing,0,Low,1,Cat_4,D
1353528,Female,No,28,No,Marketing,0,Low,5,Cat_4,A
1349691,Female,No,26,No,Marketing,0,Low,4,Cat_4,D
1352515,Female,No,25,Yes,Marketing,5,Low,2,Cat_4,D
1351077,Female,No,25,No,Marketing,1,Low,4,Cat_4,B
1348003,Female,No,21,No,Marketing,1,Low,5,Cat_4,D
1351103,Female,No,20,No,Marketing,1,Low,3,Cat_4,D
1351092,Female,No,19,No,Marketing,1,Low,3,Cat_4,A
1349888,Male,Yes,61,No,Marketing,1,High,2,Cat_3,A
1353399,Male,Yes,52,Yes,Marketing,1,Low,3,Cat_3,D
1352293,Male,Yes,45,No,Marketing,1,Low,2,Cat_3,D
1350055,Male,Yes,29,Yes,Marketing,1,High,2,Cat_3,A
1355219,Male,Yes,26,Yes,Marketing,0,Low,2,Cat_3,D
1349956,Male,No,46,No,Marketing,1,Low,4,Cat_3,D
1348949,Male,No,45,Yes,Marketing,0,Low,1,Cat_3,D
1353314,Male,No,39,Yes,Marketing,1,Low,4,Cat_3,D
1352294,Male,No,33,No,Marketing,0,Low,4,Cat_3,C
1352090,Male,No,33,No,Marketing,0,Low,3,Cat_3,D
1348811,Male,No,31,Yes,Marketing,0,Low,2,Cat_3,D
1349337,Male,No,31,No,Marketing,4,Low,1,Cat_3,D
1352286,Male,No,29,No,Marketing,9,Low,4,Cat_3,C
1350085,Male,No,28,No,Marketing,0,Low,1,Cat_3,D
1353107,Male,No,27,Yes,Marketing,1,Low,2,Cat_3,A
1349906,Male,No,25,No,Marketing,0,Low,3,Cat_3,A
1350044,Male,No,22,No,Marketing,3,Low,6,Cat_3,D
1349977,Male,No,20,No,Marketing,0,Low,3,Cat_3,B
1355495,Male,No,18,No,Marketing,2,Low,2,Cat_3,D
1349471,Male,No,18,No,Marketing,1,Low,6,Cat_3,D
1349564,Female,Yes,51,Yes,Marketing,9,Average,1,Cat_3,A
1353384,Female,Yes,41,No,Marketing,1,High,5,Cat_3,A
1354891,Female,Yes,27,Yes,Marketing,9,Low,1,Cat_3,C
1353580,Female,No,48,No,Marketing,1,Low,1,Cat_3,D
1350050,Female,No,41,No,Marketing,9,Low,3,Cat_3,B
1349445,Female,No,36,Yes,Marketing,9,Low,1,Cat_3,C
1355763,Female,No,36,Yes,Marketing,0,Low,2,Cat_3,D
1351671,Female,No,33,No,Marketing,0,Low,4,Cat_3,D
1352272,Female,No,29,No,Marketing,1,Low,5,Cat_3,D
1349513,Female,No,28,No,Marketing,9,Low,2,Cat_3,D
1349382,Female,No,28,No,Marketing,1,Low,4,Cat_3,D
1354694,Female,No,26,Yes,Marketing,0,Low,2,Cat_3,A
1352287,Female,No,26,No,Marketing,3,Low,3,Cat_3,A
1355213,Female,No,25,No,Marketing,1,Low,2,Cat_3,A
1349922,Female,No,23,No,Marketing,2,Low,6,Cat_3,D
1354971,Female,No,21,No,Marketing,2,Low,2,Cat_3,D
1349350,Female,No,20,No,Marketing,1,Low,3,Cat_3,B
1349485,Female,No,20,No,Marketing,1,Low,2,Cat_3,D
1349373,Female,No,18,No,Marketing,9,Low,5,Cat_3,B
1350476,Male,No,33,Yes,Marketing,0,Low,4,Cat_2,D
1352494,Male,No,22,No,Marketing,0,Low,4,Cat_2,C
1352557,Female,Yes,31,Yes,Marketing,7,High,4,Cat_2,A
1354540,Female,Yes,31,No,Marketing,0,Low,2,Cat_2,D
1348532,Female,No,33,No,Marketing,9,Low,4,Cat_2,D
1352459,Female,No,32,Yes,Marketing,0,Low,3,Cat_2,B
1356828,Female,No,29,No,Marketing,9,Low,4,Cat_2,A
1354227,Female,No,27,No,Marketing,0,Low,3,Cat_2,C
1355467,Male,No,21,No,Marketing,0,Low,5,Cat_1,D
1355748,Male,No,21,No,Marketing,0,Low,5,Cat_1,C
1355473,Male,No,18,No,Marketing,1,Low,4,Cat_1,D
1353164,Female,Yes,66,No,Marketing,0,High,2,Cat_1,C
1352457,Female,Yes,59,No,Marketing,1,Average,4,Cat_1,D
1350295,Female,No,32,Yes,Marketing,8,Low,6,Cat_1,A
1349742,Female,No,22,No,Marketing,1,Low,2,Cat_1,D
1350091,Female,Yes,26,No,Lawyer,0,Low,9,Cat_7,C
1356602,Male,Yes,89,Yes,Lawyer,13,Low,1,Cat_6,A
1356003,Male,Yes,89,Yes,Lawyer,0,Low,2,Cat_6,B
1353115,Male,Yes,89,Yes,Lawyer,0,High,2,Cat_6,C
1348448,Male,Yes,89,No,Lawyer,1,High,2,Cat_6,B
1355082,Male,Yes,89,No,Lawyer,0,Low,1,Cat_6,A
1354575,Male,Yes,88,Yes,Lawyer,1,Low,1,Cat_6,A
1348106,Male,Yes,88,Yes,Lawyer,0,High,3,Cat_6,C
1348042,Male,Yes,88,Yes,Lawyer,0,High,2,Cat_6,A
1347985,Male,Yes,88,Yes,Lawyer,0,High,2,Cat_6,A
1347899,Male,Yes,88,No,Lawyer,1,Low,1,Cat_6,A
1355679,Male,Yes,88,No,Lawyer,1,Low,1,Cat_6,A
1351315,Male,Yes,87,Yes,Lawyer,9,Low,4,Cat_6,C
1355804,Male,Yes,87,Yes,Lawyer,3,Low,1,Cat_6,C
1350757,Male,Yes,87,Yes,Lawyer,0,Low,1,Cat_6,B
1349823,Male,Yes,87,Yes,Lawyer,0,Low,1,Cat_6,D
1353126,Male,Yes,87,Yes,Lawyer,0,High,2,Cat_6,A
1353328,Male,Yes,87,Yes,Lawyer,0,High,2,Cat_6,A
1353991,Male,Yes,86,Yes,Lawyer,1,High,2,Cat_6,A
1355664,Male,Yes,86,Yes,Lawyer,0,Low,1,Cat_6,B
1349728,Male,Yes,86,Yes,Lawyer,0,Low,1,Cat_6,A
1353984,Male,Yes,86,No,Lawyer,13,Low,1,Cat_6,A
1348978,Male,Yes,86,No,Lawyer,2,Average,2,Cat_6,A
1352548,Male,Yes,85,Yes,Lawyer,1,Low,1,Cat_6,A
1355348,Male,Yes,85,No,Lawyer,1,Low,1,Cat_6,D
1356518,Male,Yes,85,No,Lawyer,0,Low,1,Cat_6,D
1348545,Male,Yes,84,Yes,Lawyer,1,High,2,Cat_6,B
1348320,Male,Yes,84,Yes,Lawyer,0,Low,3,Cat_6,A
1353005,Male,Yes,84,Yes,Lawyer,0,High,2,Cat_6,C
1349867,Male,Yes,84,No,Lawyer,1,Low,1,Cat_6,A
1348503,Male,Yes,84,No,Lawyer,1,Low,1,Cat_6,A
1351703,Male,Yes,84,No,Lawyer,1,Low,1,Cat_6,A
1349852,Male,Yes,84,No,Lawyer,1,High,2,Cat_6,A
1351128,Male,Yes,84,No,Lawyer,1,High,2,Cat_6,A
1353216,Male,Yes,84,No,Lawyer,1,High,2,Cat_6,B
1355349,Male,Yes,84,No,Lawyer,0,Low,1,Cat_6,D
1355081,Male,Yes,84,No,Lawyer,0,Low,1,Cat_6,A
1350596,Male,Yes,84,No,Lawyer,0,High,2,Cat_6,B
1351383,Male,Yes,84,No,Lawyer,0,High,2,Cat_6,A
1355386,Male,Yes,83,Yes,Lawyer,6,High,3,Cat_6,D
1356232,Male,Yes,83,Yes,Lawyer,0,Low,2,Cat_6,B
1353902,Male,Yes,83,No,Lawyer,1,Low,1,Cat_6,A
1353049,Male,Yes,83,No,Lawyer,1,Low,1,Cat_6,A
1354908,Male,Yes,83,No,Lawyer,0,Low,1,Cat_6,D
1350165,Male,Yes,82,Yes,Lawyer,7,Low,1,Cat_6,A
1356595,Male,Yes,82,Yes,Lawyer,5,High,2,Cat_6,A
1356505,Male,Yes,82,Yes,Lawyer,1,Low,1,Cat_6,A
1349912,Male,Yes,82,Yes,Lawyer,1,Low,1,Cat_6,A
1350602,Male,Yes,82,Yes,Lawyer,1,High,2,Cat_6,A
1349671,Male,Yes,82,Yes,Lawyer,0,Low,1,Cat_6,B
1348465,Male,Yes,82,Yes,Lawyer,0,Low,1,Cat_6,D
1350607,Male,Yes,82,Yes,Lawyer,0,Low,1,Cat_6,D
1352959,Male,Yes,82,Yes,Lawyer,0,High,2,Cat_6,B
1356614,Male,Yes,82,Yes,Lawyer,0,High,2,Cat_6,C
1356125,Male,Yes,82,Yes,Lawyer,0,High,2,Cat_6,D
1349795,Male,Yes,82,No,Lawyer,1,High,3,Cat_6,A
1350432,Male,Yes,82,No,Lawyer,1,High,2,Cat_6,A
1356557,Male,Yes,82,No,Lawyer,0,High,2,Cat_6,A
1349715,Male,Yes,81,Yes,Lawyer,9,Low,1,Cat_6,D
1351234,Male,Yes,81,Yes,Lawyer,9,Low,1,Cat_6,B
1348695,Male,Yes,81,Yes,Lawyer,1,Low,1,Cat_6,A
1354992,Male,Yes,81,Yes,Lawyer,1,Low,1,Cat_6,B
1355704,Male,Yes,81,Yes,Lawyer,1,High,2,Cat_6,B
1347989,Male,Yes,81,No,Lawyer,8,Low,2,Cat_6,B
1353217,Male,Yes,81,No,Lawyer,1,Low,2,Cat_6,D
1353985,Male,Yes,81,No,Lawyer,1,High,2,Cat_6,A
1348452,Male,Yes,80,Yes,Lawyer,2,Low,1,Cat_6,A
1350628,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,B
1348047,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,A
1355907,Male,Yes,80,Yes,Lawyer,1,Low,1,Cat_6,C
1349600,Male,Yes,80,Yes,Lawyer,0,Low,1,Cat_6,D
1355908,Male,Yes,80,Yes,Lawyer,0,High,3,Cat_6,B
1354974,Male,Yes,80,Yes,Lawyer,0,High,2,Cat_6,C
1348772,Male,Yes,80,No,Lawyer,8,Low,1,Cat_6,D
1349653,Male,Yes,80,No,Lawyer,1,Low,1,Cat_6,D
1356421,Male,Yes,79,Yes,Lawyer,2,Low,1,Cat_6,D
1356622,Male,Yes,79,Yes,Lawyer,2,High,2,Cat_6,B
1349808,Male,Yes,79,Yes,Lawyer,1,High,2,Cat_6,C
1353210,Male,Yes,79,Yes,Lawyer,0,Low,2,Cat_6,A
1350891,Male,Yes,79,No,Lawyer,9,Low,3,Cat_6,D
1351194,Male,Yes,79,No,Lawyer,8,High,2,Cat_6,A
1349862,Male,Yes,79,No,Lawyer,1,Low,1,Cat_6,D
1350585,Male,Yes,79,No,Lawyer,1,Low,1,Cat_6,D
1355828,Male,Yes,79,No,Lawyer,0,Low,1,Cat_6,D
1348614,Male,Yes,79,No,Lawyer,0,High,2,Cat_6,B
1355181,Male,Yes,79,No,Lawyer,0,High,2,Cat_6,B
1355600,Male,Yes,78,Yes,Lawyer,1,Low,1,Cat_6,B
1351000,Male,Yes,78,Yes,Lawyer,1,Low,1,Cat_6,D
1354986,Male,Yes,78,Yes,Lawyer,1,High,2,Cat_6,A
1349882,Male,Yes,78,Yes,Lawyer,0,Low,5,Cat_6,A
1355662,Male,Yes,78,Yes,Lawyer,0,Low,2,Cat_6,C
1350411,Male,Yes,78,Yes,Lawyer,0,High,5,Cat_6,B
1349633,Male,Yes,78,No,Lawyer,1,High,2,Cat_6,A
1354043,Male,Yes,77,Yes,Lawyer,1,Low,1,Cat_6,C
1348392,Male,Yes,77,Yes,Lawyer,1,High,2,Cat_6,A
1354998,Male,Yes,77,Yes,Lawyer,0,Low,1,Cat_6,A
1352970,Male,Yes,77,Yes,Lawyer,0,Low,1,Cat_6,A
1356063,Male,Yes,77,Yes,Lawyer,0,Low,1,Cat_6,D
1351613,Male,Yes,77,Yes,Lawyer,0,High,2,Cat_6,B
1351239,Male,Yes,77,No,Lawyer,1,High,2,Cat_6,C
1349870,Male,Yes,77,No,Lawyer,1,High,2,Cat_6,A
1347968,Male,Yes,77,No,Lawyer,0,Low,2,Cat_6,D
1352094,Male,Yes,77,No,Lawyer,0,Low,1,Cat_6,A
1355381,Male,Yes,77,No,Lawyer,0,High,2,Cat_6,A
1356160,Male,Yes,76,Yes,Lawyer,8,High,2,Cat_6,A
1356233,Male,Yes,76,Yes,Lawyer,1,Low,1,Cat_6,A
1356509,Male,Yes,76,Yes,Lawyer,1,Low,1,Cat_6,A
1356510,Male,Yes,76,Yes,Lawyer,1,High,2,Cat_6,C
1348609,Male,Yes,76,Yes,Lawyer,0,Low,2,Cat_6,A
1351317,Male,Yes,76,No,Lawyer,0,Low,1,Cat_6,A
1356419,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6,D
1348664,Male,Yes,75,Yes,Lawyer,2,Low,1,Cat_6,D
1350964,Male,Yes,75,Yes,Lawyer,1,Low,2,Cat_6,D
1353967,Male,Yes,75,Yes,Lawyer,1,Low,1,Cat_6,A
1352779,Male,Yes,75,Yes,Lawyer,1,Low,1,Cat_6,A
1353889,Male,Yes,75,Yes,Lawyer,1,High,2,Cat_6,C
1352147,Male,Yes,75,Yes,Lawyer,0,Low,1,Cat_6,A
1353282,Male,Yes,75,Yes,Lawyer,0,High,2,Cat_6,A
1351253,Male,Yes,75,Yes,Lawyer,0,High,2,Cat_6,B
1350335,Male,Yes,75,Yes,Lawyer,0,High,2,Cat_6,C
1351928,Male,Yes,75,No,Lawyer,1,High,2,Cat_6,B
1350997,Male,Yes,75,No,Lawyer,0,Low,1,Cat_6,D
1349583,Male,Yes,74,Yes,Lawyer,1,Low,1,Cat_6,A
1353895,Male,Yes,74,Yes,Lawyer,1,Low,1,Cat_6,D
1353938,Male,Yes,74,Yes,Lawyer,1,High,2,Cat_6,B
1351767,Male,Yes,74,Yes,Lawyer,1,High,2,Cat_6,A
1351148,Male,Yes,74,Yes,Lawyer,0,Low,2,Cat_6,C
1352979,Male,Yes,74,Yes,Lawyer,0,High,3,Cat_6,D
1348299,Male,Yes,74,No,Lawyer,8,Low,1,Cat_6,A
1349665,Male,Yes,74,No,Lawyer,0,Low,1,Cat_6,D
1353208,Male,Yes,74,No,Lawyer,0,High,2,Cat_6,A
1351839,Male,Yes,73,Yes,Lawyer,2,Low,1,Cat_6,D
1355654,Male,Yes,73,Yes,Lawyer,1,High,4,Cat_6,C
1351270,Male,Yes,73,Yes,Lawyer,1,High,2,Cat_6,B
1348518,Male,Yes,73,Yes,Lawyer,1,Average,2,Cat_6,A
1352016,Male,Yes,73,Yes,Lawyer,0,High,4,Cat_6,A
1349584,Male,Yes,73,No,Lawyer,1,Low,1,Cat_6,D
1354182,Male,Yes,73,No,Lawyer,0,Low,2,Cat_6,D
1356519,Male,Yes,72,Yes,Lawyer,3,High,2,Cat_6,C
1356699,Male,Yes,72,Yes,Lawyer,1,Low,1,Cat_6,D
1355868,Male,Yes,72,Yes,Lawyer,1,High,2,Cat_6,A
1348229,Male,Yes,72,Yes,Lawyer,0,High,2,Cat_6,C
1350824,Male,Yes,72,No,Lawyer,0,High,2,Cat_6,B
1351310,Male,Yes,71,Yes,Lawyer,1,Low,2,Cat_6,A
1356491,Male,Yes,71,Yes,Lawyer,1,High,2,Cat_6,C
1350674,Male,Yes,71,Yes,Lawyer,0,High,2,Cat_6,C
1350189,Male,Yes,71,Yes,Lawyer,0,Average,2,Cat_6,C
1355026,Male,Yes,71,No,Lawyer,3,High,2,Cat_6,D
1349674,Male,Yes,71,No,Lawyer,1,High,2,Cat_6,B
1348675,Male,Yes,71,No,Lawyer,0,Low,1,Cat_6,A
1355067,Male,Yes,71,No,Lawyer,0,Low,1,Cat_6,B
1353968,Male,Yes,70,Yes,Lawyer,8,Average,2,Cat_6,C
1356712,Male,Yes,70,Yes,Lawyer,3,Low,1,Cat_6,D
1351053,Male,Yes,70,Yes,Lawyer,3,High,2,Cat_6,D
1356255,Male,Yes,70,Yes,Lawyer,1,Low,2,Cat_6,B
1356661,Male,Yes,70,Yes,Lawyer,1,High,3,Cat_6,C
1356147,Male,Yes,70,Yes,Lawyer,1,High,2,Cat_6,B
1349239,Male,Yes,70,Yes,Lawyer,0,Low,1,Cat_6,A
1355481,Male,Yes,70,Yes,Lawyer,0,High,3,Cat_6,A
